what to search,how to search,where to search,what it Indicates,notes,regex matches,value
This is a PDF file of an unedited manuscript that has been accepted for publication,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
"This article can be cited before page numbers have been issued, to do this please use",string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
final version,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
author accepted manuscript,string,file,postprint,from https://dev.openaccessbutton.org/static/test-manuscripts/Khoo-etal-2020-NestingMaterialEnrichment.pdf,,
author manuscript,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
manuscript word count,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
preliminary version,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
accepted version,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
copy-edited version,string,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
© ?XXXX,regex,file,postprint,from https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
^[0-9]*.pdf,regex,title,publisher pdf,form: https://stackoverflow.com/questions/19715303/regex-that-accepts-only-numbers-0-9-and-no-characters,"e.g 1234567.pdf, 17089.pdf",
Downloaded at,string,file,publisher pdf,from: https://docs.google.com/document/d/1UhPG8ZQmJzwpFy5xywb8Ic5fZxBjcrz7hedAq776EJA/edit#,,
crossmark\.[^/]*\.org/,regex,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
©.?\d{4},regex,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,"©2014, © 2014 ",
all rights reserved,string,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
This article is distributed under the terms of the Creative Commons,string,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
This article is licensed under a Creative Commons,string,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
this is an open access article,string,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
This article is brought to you for free and open access by,string,file,publisher pdf,from: https://github.com/ourresearch/oadoi/blob/master/page.py#L318,,
published online: ?[0-9],regex,file,publisher pdf,from: https://dev.openaccessbutton.org/static/test-manuscripts/voutchkova2017_iodine_in_dk.pdf,"published online: 9, published online:9",
"Electronic supplementary material The online version of this
article (doi:<<DOI>>) contains supplementary
material, which is available to authorized users.",string,file,publisher pdf,from: https://dev.openaccessbutton.org/static/test-manuscripts/voutchkova2017_iodine_in_dk.pdf,,
ORIGINAL ARTICLE,string,file,publisher pdf,from: https://dev.openaccessbutton.org/static/test-manuscripts/voutchkova2017_iodine_in_dk.pdf,,
